frequency,raw
20.0,2.97794
20.3,2.9812
20.6,2.98523
20.9,2.98832
21.2,2.98928
21.4,2.98926
21.8,2.98874
22.0,2.98839
22.4,2.98681
22.7,2.98299
23.0,2.97471
23.3,2.96162
23.6,2.94572
24.0,2.92502
24.3,2.91201
24.7,2.89939
25.0,2.89395
25.4,2.89096
25.8,2.8889
26.2,2.8842
26.5,2.87785
26.9,2.86504
27.2,2.85227
27.6,2.83332
28.0,2.81672
28.5,2.80305
29.0,2.79573
29.5,2.7922
30.0,2.79132
30.4,2.79243
30.7,2.79413
31.1,2.79717
31.5,2.80047
32.0,2.80296
32.5,2.80251
33.0,2.80061
33.5,2.79856
34.0,2.79672
34.5,2.79542
35.0,2.79539
35.5,2.79822
36.0,2.80487
36.5,2.81293
37.0,2.81749
37.5,2.81453
38.2,2.79699
38.7,2.77744
39.5,2.74283
40.0,2.72497
40.6,2.71062
41.2,2.70204
41.8,2.69556
42.5,2.68658
43.1,2.67407
43.7,2.65508
44.4,2.62682
45.0,2.60118
45.5,2.58158
46.2,2.55958
46.8,2.54565
47.5,2.53248
48.2,2.51994
48.7,2.51067
49.4,2.49705
50.0,2.48474
50.8,2.46752
51.5,2.45184
52.2,2.43581
53.0,2.41732
53.8,2.39876
54.5,2.3825
55.2,2.36624
56.0,2.34766
57.0,2.32443
58.0,2.30122
59.0,2.27768
60.0,2.25199
60.8,2.22706
61.5,2.2007
62.2,2.17129
63.0,2.13684
64.0,2.09607
65.0,2.05904
66.0,2.02649
67.0,1.99859
68.0,1.97293
69.0,1.94549
70.0,1.91233
71.0,1.87194
72.0,1.82594
73.0,1.77661
74.0,1.72695
75.0,1.68096
76.2,1.63339
77.5,1.58816
78.8,1.54581
80.0,1.50985
81.2,1.47971
82.5,1.45417
83.8,1.43312
85.0,1.4169
86.2,1.40505
87.5,1.39805
88.5,1.3967
90.0,1.39798
91.2,1.39934
92.5,1.40103
93.8,1.40266
95.0,1.40428
96.2,1.40643
97.5,1.40755
98.8,1.40294
100.0,1.38937
101.5,1.3593
103.0,1.32058
104.4,1.2822
106.0,1.24055
107.5,1.20788
109.0,1.18274
110.6,1.16014
112.0,1.14002
113.8,1.11048
115.0,1.08747
117.2,1.03898
118.0,1.02019
120.6,0.959696
122.0,0.930473
124.1,0.894445
125.0,0.882139
126.5,0.865255
128.0,0.850571
131.5,0.81248
132.0,0.805946
134.0,0.776382
136.0,0.743474
138.0,0.710459
140.0,0.680876
143.0,0.647023
145.0,0.6297
147.5,0.609435
150.0,0.589988
152.5,0.572113
155.0,0.554719
157.5,0.536159
160.0,0.513371
162.5,0.482318
165.0,0.442186
167.5,0.396227
170.0,0.347361
172.5,0.294967
175.0,0.236969
177.5,0.174275
180.0,0.109867
182.5,0.04591
185.0,-0.01472
187.5,-0.068791
190.0,-0.115961
192.5,-0.15848
195.0,-0.198023
197.5,-0.234775
200.0,-0.268047
203.0,-0.302724
206.0,-0.332258
209.0,-0.358103
212.0,-0.381675
214.0,-0.396549
218.0,-0.424818
220.0,-0.438288
224.0,-0.463516
227.0,-0.479642
230.0,-0.491515
233.0,-0.498462
236.0,-0.501352
240.0,-0.500901
243.0,-0.496078
247.0,-0.478126
250.0,-0.454967
254.0,-0.417153
258.0,-0.379776
262.0,-0.347026
265.0,-0.327292
269.0,-0.307457
272.0,-0.295705
276.0,-0.282256
280.0,-0.269228
285.0,-0.249479
290.0,-0.223542
295.0,-0.192849
300.0,-0.163247
304.0,-0.145569
307.0,-0.137243
311.0,-0.130821
315.0,-0.125655
320.0,-0.117475
325.0,-0.106622
330.0,-0.091333
335.0,-0.072003
340.0,-0.052136
345.0,-0.035832
350.0,-0.027668
355.0,-0.032967
360.0,-0.053662
365.0,-0.085443
370.0,-0.12208
375.0,-0.158409
382.0,-0.201041
387.0,-0.223485
395.0,-0.24835
400.0,-0.258443
406.0,-0.26353
412.0,-0.260096
418.0,-0.250895
425.0,-0.23781
431.0,-0.226117
437.0,-0.213282
444.0,-0.196616
450.0,-0.181496
455.0,-0.168608
462.0,-0.150593
468.0,-0.135518
475.0,-0.118016
482.0,-0.100113
487.0,-0.086834
494.0,-0.067155
500.0,-0.049485
508.0,-0.025124
515.0,-0.002207
522.0,0.022895
530.0,0.054714
538.0,0.091434
545.0,0.127383
552.0,0.165573
560.0,0.208966
570.0,0.256561
580.0,0.29313
590.0,0.32301
600.0,0.350386
608.0,0.368192
615.0,0.379253
622.0,0.386537
630.0,0.392027
640.0,0.397223
650.0,0.40116
660.0,0.403169
670.0,0.403563
680.0,0.403856
690.0,0.405795
700.0,0.413829
710.0,0.433347
720.0,0.462919
730.0,0.495676
740.0,0.527023
750.0,0.554189
762.0,0.578946
775.0,0.59911
788.0,0.617019
800.0,0.635459
812.0,0.661438
825.0,0.70333
838.0,0.758033
850.0,0.811771
862.0,0.858638
875.0,0.896337
885.0,0.918
900.0,0.944611
912.0,0.962607
925.0,0.978279
938.0,0.989078
950.0,0.994679
962.0,0.997754
975.0,1.00022
988.0,1.00397
1000.0,1.01166
1015.0,1.02906
1030.0,1.05114
1044.0,1.07167
1060.0,1.09367
1075.0,1.11238
1090.0,1.12816
1106.0,1.1419
1120.0,1.15351
1138.0,1.17556
1150.0,1.19944
1172.0,1.2594
1180.0,1.28341
1206.0,1.36458
1220.0,1.4126
1241.0,1.49426
1250.0,1.53313
1265.0,1.60242
1280.0,1.67596
1315.0,1.85875
1320.0,1.88629
1340.0,2.00058
1360.0,2.11847
1380.0,2.23834
1400.0,2.36333
1430.0,2.56999
1450.0,2.71669
1475.0,2.89914
1500.0,3.07711
1525.0,3.25195
1550.0,3.42295
1575.0,3.58967
1600.0,3.74873
1625.0,3.89717
1650.0,4.03876
1675.0,4.17654
1700.0,4.31082
1725.0,4.44415
1750.0,4.58094
1775.0,4.7209
1800.0,4.85952
1825.0,4.99399
1850.0,5.12516
1875.0,5.25405
1900.0,5.37975
1925.0,5.50147
1950.0,5.62116
1975.0,5.74383
2000.0,5.87508
2030.0,6.04572
2060.0,6.22465
2090.0,6.40542
2120.0,6.58534
2140.0,6.70536
2180.0,6.94868
2200.0,7.07208
2240.0,7.31698
2270.0,7.48823
2300.0,7.63586
2330.0,7.7552
2360.0,7.85433
2400.0,7.97328
2430.0,8.05854
2470.0,8.16951
2500.0,8.25275
2540.0,8.36478
2580.0,8.47452
2620.0,8.57219
2650.0,8.62883
2690.0,8.68013
2720.0,8.70719
2760.0,8.73801
2800.0,8.76914
2850.0,8.8097
2900.0,8.85174
2950.0,8.89456
3000.0,8.93116
3040.0,8.94497
3070.0,8.94255
3110.0,8.92653
3150.0,8.90537
3200.0,8.87643
3250.0,8.8342
3300.0,8.76776
3350.0,8.68356
3400.0,8.59363
3450.0,8.50321
3500.0,8.41094
3550.0,8.31516
3600.0,8.21784
3650.0,8.12073
3700.0,8.02261
3750.0,7.92064
3820.0,7.77061
3870.0,7.6615
3950.0,7.48876
4000.0,7.38152
4060.0,7.25232
4120.0,7.12241
4180.0,6.99202
4250.0,6.84055
4310.0,6.7121
4370.0,6.58438
4440.0,6.43506
4500.0,6.30615
4550.0,6.19838
4620.0,6.04765
4680.0,5.91864
4750.0,5.76836
4820.0,5.61896
4870.0,5.514
4940.0,5.37236
5000.0,5.2572
5080.0,5.10961
5150.0,4.98381
5220.0,4.8606
5300.0,4.72154
5380.0,4.58357
5450.0,4.46336
5520.0,4.34445
5600.0,4.21108
5700.0,4.04777
5800.0,3.88844
5900.0,3.73294
6000.0,3.58024
6080.0,3.45865
6150.0,3.35152
6220.0,3.2424
6300.0,3.11399
6400.0,2.94947
6500.0,2.78682
6600.0,2.63131
6700.0,2.48365
6800.0,2.34208
6900.0,2.20149
7000.0,2.05318
7100.0,1.89092
7200.0,1.71843
7300.0,1.54521
7400.0,1.37893
7500.0,1.22364
7620.0,1.05279
7750.0,0.885985
7880.0,0.749075
8000.0,0.675353
8120.0,0.668757
8250.0,0.716398
8380.0,0.789522
8500.0,0.866967
8620.0,0.951866
8750.0,1.05214
8850.0,1.13277
9000.0,1.25198
9120.0,1.33988
9250.0,1.42007
9380.0,1.47822
9500.0,1.51211
9620.0,1.52876
9750.0,1.52147
9880.0,1.46706
10000.0,1.34738
10150.0,1.09183
10300.0,0.753584
10440.0,0.401592
10600.0,-0.022733
10750.0,-0.438513
10900.0,-0.868798
11060.0,-1.33538
11200.0,-1.74388
11380.0,-2.26398
11500.0,-2.60571
11720.0,-3.21834
11800.0,-3.43503
12060.0,-4.10631
12200.0,-4.4287
12410.0,-4.81906
12500.0,-4.94456
12650.0,-5.09964
12800.0,-5.20611
13150.0,-5.38011
13200.0,-5.40227
13400.0,-5.48721
13600.0,-5.56407
13800.0,-5.6325
14000.0,-5.70216
14300.0,-5.83142
14500.0,-5.93241
14750.0,-6.06355
15000.0,-6.2061
15250.0,-6.38522
15500.0,-6.60683
15750.0,-6.87195
16000.0,-7.22805
16250.0,-7.72423
16500.0,-8.3297
16750.0,-8.98761
17000.0,-9.67096
17250.0,-10.3722
17500.0,-11.0896
17750.0,-11.8229
18000.0,-12.5684
18250.0,-13.3179
18500.0,-14.0574
18750.0,-14.7683
19000.0,-15.4437
19250.0,-16.0897
19500.0,-16.7053
19750.0,-17.2676
20000.0,-17.662
